,official_case_id,type_of_crime,location,datetime,year_date,time,victim_sex,offender_sex,number_of_victims,number_of_offenders,homicide,hate_crime-disability,hate_crime-gender,hate_crime-gender_identity,hate_crime-religious,hate_crime-sexual_orientation,hate_crime-racial/ethnicity,verbal_abuse/verbal_assault,property_damage,drug_offenses,general_assault,sexual_assault,sexual_harassment,property_crimes,unclassified
125,1143899,"Robbery, General Assault, Property Damage","Ribnitzer Straße,  Wartenberg",2021-11-09 20:25:00,2021-11-09,20.25,Male,Male,1,6-8,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
126,1143840,Property Damage,Grunewaldstraße kurz vor der Kreuzung Schloßstraße,2021-11-09 14:30:00,2021-11-09,14.30,Female,Male,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
127,1143713,"Property Damage, Arson",Alexanderplatz,2021-11-09 17:15:00,2021-11-09,17.15,Unknown,Unknown,0,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
128,1143477,Property Damage,Fürstenwalder Damm/Ahornweg,2021-11-08 23:00:00,2021-11-08,23.00,Female,Female,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
129,1143363,"Property Damage, Drug Offenses",Berlinweit,,2021-11-08,Unknown,Unknown,Unknown,Unknown,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
130,1143359,"General Assault, Property Crime","Badstraße, Gesundbrunnen",2021-11-08 15:50:00,2021-11-08,15.50,Male,Male,2,3,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
131,1143357,Property Damage,Scharnweberstraße,2021-11-08 20:00:00,2021-11-08,20.00,Male,Unknown,2,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
132,1143355,Property Crime,"Körnerstraße, Steglitz-Zehlendorf",2021-11-08 01:00:00,2021-11-08,01.00,Unknown,Male,Unknown,2,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
133,1143281,"Verbal Abuse, General Assault",Adalbertstraße,2021-11-07 06:20:00,2021-11-07,06.20,Male,Male,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
134,1143280,"General Assault, Property Damage","Mühlenstraße, Tamara-Danz-Straße",2021-11-07 15:15:00,2021-11-07,15.15,Male,Male,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
135,1143279,Robbery,"Wildensteiner Straße, Karlshorst",2021-11-07 18:35:00,2021-11-07,18.35,Female,Male,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
136,1143278,"Property Crime, Attempted Burglary","Nürnberger Straße, Augsburger Straße",2021-11-07 23:00:00,2021-11-07,23.00,Unknown,Male,Unknown,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
137,1143277,"General Assault, Property Damage",Müllerstraße,2021-11-07 21:40:00,2021-11-07,21.40,Female,Male,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
138,1143273,"General Assault, Verbal Abuse, Hate Crime - Sexual Orientation"," Uhlandstraße,  Kurfürstendamm,  Wittenbergplatz",2021-11-07 12:15:00,2021-11-07,12.15,Male,Male,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
139,1143272,Property Damage,"Bismarcksfelder Straße, Biesdorf",2021-11-07 16:00:00,2021-11-07,16.00,Unknown,Unknown,Unknown,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
140,1143209,Property Damage,Unter den Linden/Glinkastraße Kreuzung,2021-11-06 03:50:00,2021-11-06,03.50,Male,Unknown,1,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
141,1143122,Unclassified,Haselhorst,,2021-11-06,Unknown,Unknown,Unknown,Unknown,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
142,1143116,"Property Damage, Arson",Zimmerstraße,2021-11-05 22:00:00,2021-11-05,22.00,Unknown,Unknown,Unknown,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
143,1175751,Property Damage, Spichernstraße and  Augsburger Straße,2022-02-10 21:00:00,2022-02-10,21.00,Unknown,Male,Unknown,3,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
144,1175622,Property Damage,"Prenzlauer Berg, Mitte, Topsstraße, Eberswalder Straße, Norwegerstraße, Finnländische Straße, Griebenowstraße, Schwedter Straße, Wolliner Straße, Zionskirchstraße, Ruppiner Straße",2022-02-10 00:50:00,2022-02-10,00.50,Unknown,Unknown,Unknown,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
145,1178500,"General Assault, Property Crimes",Alt-Hohenschönhausen,2022-02-19 19:45:00,2022-02-19,19.45,Male,Male,2,15-20,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
